rank,agent,agent_type,model,model_provider,model_tier,model_specialty,accuracy_pct,date,org,verified,agent_url
1,ForgeCode,full_agent,gpt-5.4,OpenAI,frontier,general,81.8%,2026-03-12,ForgeCode,False,https://forgecode.dev
2,ForgeCode,full_agent,claude-opus-4-6,Anthropic,frontier,general,81.8%,2026-03-12,ForgeCode,False,https://forgecode.dev
3,TongAgents,full_agent,gemini-3.1-pro-preview,Google,frontier,general,80.2%,2026-03-13,BIGAI,False,https://www.bigai.ai/
4,SageAgent,full_agent,gpt-5.3-codex,OpenAI,frontier,code-specialized,78.4%,2026-03-13,OpenSage,False,https://github.com/opensage-agent
5,ForgeCode,full_agent,gemini-3.1-pro-preview,Google,frontier,general,78.4%,2026-03-02,ForgeCode,False,https://forgecode.dev
6,Droid,full_agent,gpt-5.3-codex,OpenAI,frontier,code-specialized,77.3%,2026-02-24,Factory,False,https://factory.ai/
7,Capy,full_agent,claude-opus-4-6,Anthropic,frontier,general,75.3%,2026-03-12,Capy,False,https://capy.ai
8,Simple Codex,cli_agent,gpt-5.3-codex,OpenAI,frontier,code-specialized,75.1%,2026-02-06,OpenAI,True,https://openai.com/codex
9,Terminus-KIRA,full_agent,gemini-3.1-pro-preview,Google,frontier,general,74.8%,2026-02-23,KRAFTON AI,False,https://www.krafton.ai/
10,Terminus-KIRA,full_agent,claude-opus-4-6,Anthropic,frontier,general,74.7%,2026-02-22,KRAFTON AI,False,https://www.krafton.ai/
11,Mux,full_agent,gpt-5.3-codex,OpenAI,frontier,code-specialized,74.6%,2026-03-06,Coder,False,https://github.com/coder/mux
12,MAYA-V2,full_agent,claude-4.6-opus,anthropic,unknown,general,72.1%,2026-03-12,ADYA,False,https://adya.ai/maya
13,TongAgents,full_agent,claude-opus-4.6,Anthropic,frontier,general,71.9%,2026-02-22,Bigai,False,https://www.bigai.ai/
14,Junie CLI,cli_agent,claude-opus-4-6,Anthropic,frontier,general,71.0%,2026-03-07,JetBrains,False,https://junie.jetbrains.com
15,CodeBrain-1,full_agent,gpt-5.3-codex,OpenAI,frontier,code-specialized,70.3%,2026-02-10,Feeling AI,False,https://feeling-ai.com
16,Droid,full_agent,claude-opus-4-6,Anthropic,frontier,general,69.9%,2026-02-05,Factory,False,https://factory.ai/
17,Ante,full_agent,gemini-3-pro-preview,Google,frontier,general,69.4%,2026-01-06,Antigma Labs,True,https://antigma.ai
18,IndusAGI Coding Agent,full_agent,gpt-5.3-codex,OpenAI,frontier,code-specialized,69.1%,2026-03-18,Varun Israni (SoloVpx),False,https://www.indusagi.com
