task,category,difficulty_tier,avg_pass_rate,global_pass_rate,entries_evaluated,total_trials,total_successes
modernize-scientific-stack,legacy-modernization,easy,0.9424,0.9414,118,580,546
constraints-scheduling,algorithms,easy,0.9107,0.9074,118,583,529
multi-source-data-merger,data-processing,easy,0.9051,0.9039,118,583,527
fix-git,devops,easy,0.8983,0.8974,118,585,525
prove-plus-comm,formal-verification,easy,0.8949,0.8981,118,579,520
git-leak-recovery,devops,easy,0.8831,0.8802,118,576,507
cobol-modernization,legacy-modernization,easy,0.852,0.8486,118,588,499
portfolio-optimization,scientific-computing,easy,0.841,0.8377,118,579,485
nginx-request-logging,devops,easy,0.8339,0.8316,118,582,484
vulnerable-secret,security,easy,0.7864,0.7839,118,583,457
headless-terminal,devops,easy,0.7616,0.7719,118,583,450
custom-memory-heap-crash,systems,easy,0.7602,0.7612,118,582,443
git-multibranch,devops,easy,0.7441,0.7366,118,577,425
log-summary-date-ranges,data-processing,easy,0.7407,0.7376,118,583,430
regex-log,data-processing,easy,0.7381,0.7331,118,577,423
code-from-image,ml-inference,easy,0.7195,0.7145,118,585,418
hf-model-inference,ml-inference,easy,0.7182,0.7172,118,580,416
distribution-search,algorithms,easy,0.7144,0.7082,118,586,415
pypi-server,devops,easy,0.7034,0.7052,118,580,409
merge-diff-arc-agi-task,data-processing,medium,0.6966,0.6898,118,577,398
sqlite-with-gcov,build-systems,medium,0.6945,0.688,118,577,397
build-pmars,build-systems,medium,0.675,0.6735,118,582,392
fix-code-vulnerability,security,medium,0.6695,0.6649,118,582,387
openssl-selfsigned-cert,security,medium,0.6552,0.6627,118,581,385
crack-7z-hash,security,medium,0.6212,0.6106,118,583,356
build-pov-ray,build-systems,medium,0.616,0.606,118,571,346
kv-store-grpc,distributed-systems,medium,0.6136,0.6089,118,583,355
mcmc-sampling-stan,scientific-computing,medium,0.6038,0.6111,118,576,352
fix-ocaml-gc,systems,medium,0.603,0.5982,118,570,341
qemu-startup,virtualization,medium,0.6006,0.6021,118,583,351
bn-fit-modify,scientific-computing,medium,0.589,0.5779,118,571,330
large-scale-text-editing,data-processing,medium,0.5727,0.5648,118,579,327
pytorch-model-cli,ml-inference,medium,0.5669,0.5601,118,582,326
sqlite-db-truncate,databases,medium,0.5373,0.531,118,580,308
reshard-c4-data,ml-data,medium,0.5347,0.5312,118,576,306
configure-git-webserver,devops,medium,0.5311,0.5324,118,586,312
pytorch-model-recovery,ml-systems,medium,0.5064,0.5147,118,579,298
llm-inference-batching-scheduler,ml-systems,medium,0.487,0.4812,118,584,281
mailman,devops,medium,0.4856,0.4974,118,573,285
password-recovery,security,medium,0.4822,0.478,118,569,272
extract-elf,reverse-engineering,medium,0.4753,0.4844,118,578,280
count-dataset-tokens,ml-data,medium,0.4708,0.4676,118,586,274
tune-mjcf,simulation,medium,0.4585,0.4509,118,581,262
cancel-async-tasks,concurrency,medium,0.4492,0.4521,118,584,264
compile-compcert,compilers,medium,0.4453,0.4387,118,579,254
largest-eigenval,scientific-computing,medium,0.4362,0.4347,118,582,253
sparql-university,databases,medium,0.4331,0.4273,118,578,247
build-cython-ext,build-systems,medium,0.4322,0.4211,118,577,243
feal-differential-cryptanalysis,security,medium,0.4254,0.4185,118,583,244
rstan-to-pystan,scientific-computing,medium,0.4089,0.4119,118,573,236
overfull-hbox,document-processing,medium,0.4008,0.4028,118,576,232
feal-linear-cryptanalysis,security,medium,0.3847,0.3927,118,578,227
sanitize-git-repo,devops,medium,0.3746,0.3722,118,583,217
adaptive-rejection-sampler,scientific-computing,medium,0.3718,0.3543,118,573,203
circuit-fibsqrt,hardware-simulation,medium,0.3623,0.3508,118,573,201
query-optimize,databases,medium,0.3568,0.372,118,578,215
winning-avg-corewars,simulation,medium,0.3568,0.3591,118,582,209
break-filter-js-from-html,web-dev,hard,0.3479,0.3516,118,583,205
schemelike-metacircular-eval,compilers,hard,0.3404,0.3328,118,583,194
qemu-alpine-ssh,virtualization,hard,0.3373,0.3322,118,578,192
financial-document-processor,data-processing,hard,0.3186,0.3161,118,579,183
protein-assembly,bioinformatics,hard,0.2398,0.2496,118,581,145
write-compressor,systems,hard,0.2381,0.2487,118,575,143
path-tracing,graphics,hard,0.2189,0.2283,118,565,129
path-tracing-reverse,graphics,hard,0.2186,0.2095,118,568,119
chess-best-move,algorithms,hard,0.2081,0.2093,118,578,121
polyglot-c-py,programming-languages,hard,0.1847,0.1899,118,574,109
polyglot-rust-c,programming-languages,hard,0.178,0.1871,118,572,107
model-extraction-relu-logits,ml-security,hard,0.147,0.1515,118,581,88
db-wal-recovery,databases,hard,0.1458,0.1318,118,584,77
torch-tensor-parallelism,ml-systems,hard,0.139,0.1438,118,577,83
regex-chess,algorithms,hard,0.1321,0.1341,118,574,77
gcode-to-text,data-processing,hard,0.1242,0.1291,118,581,75
mteb-leaderboard,ml-data,hard,0.1204,0.1146,118,576,66
make-mips-interpreter,compilers,hard,0.1014,0.1053,118,570,60
dna-assembly,bioinformatics,very-hard,0.0983,0.0979,118,582,57
dna-insert,bioinformatics,very-hard,0.0966,0.0986,118,578,57
mteb-retrieve,ml-inference,very-hard,0.0952,0.1026,118,575,59
torch-pipeline-parallelism,ml-systems,very-hard,0.0831,0.0848,118,578,49
video-processing,multimedia,very-hard,0.0712,0.0757,118,581,44
extract-moves-from-video,multimedia,very-hard,0.0415,0.0364,118,577,21
gpt2-codegolf,ml-inference,very-hard,0.0356,0.0363,118,578,21
caffe-cifar-10,ml-training,very-hard,0.0326,0.0314,118,573,18
raman-fitting,scientific-computing,very-hard,0.0309,0.031,118,581,18
sam-cell-seg,ml-inference,very-hard,0.0305,0.0311,118,578,18
install-windows-3.11,virtualization,very-hard,0.0301,0.0312,118,577,18
train-fasttext,ml-training,very-hard,0.028,0.0294,118,578,17
filter-js-from-html,web-dev,very-hard,0.0102,0.0103,118,580,6
make-doom-for-mips,compilers,very-hard,0.0,0.0,118,583,0
