task,avg_rate,global_rate,total_trials,total_successes,entries,sum_rate
make-doom-for-mips,0.0,0.0,583,0,118,0.0
filter-js-from-html,0.010169491525423728,0.010344827586206896,580,6,118,1.2
train-fasttext,0.02796610169491526,0.029411764705882353,578,17,118,3.3000000000000007
install-windows-3.11,0.030084745762711876,0.03119584055459272,577,18,118,3.550000000000001
sam-cell-seg,0.030508474576271188,0.031141868512110725,578,18,118,3.6
raman-fitting,0.030932203389830507,0.03098106712564544,581,18,118,3.65
caffe-cifar-10,0.032627118644067796,0.031413612565445025,573,18,118,3.85
gpt2-codegolf,0.03559322033898306,0.03633217993079585,578,21,118,4.200000000000001
extract-moves-from-video,0.041525423728813564,0.036395147313691506,577,21,118,4.9
video-processing,0.07118644067796612,0.0757314974182444,581,44,118,8.400000000000002
torch-pipeline-parallelism,0.08305084745762711,0.0847750865051903,578,49,118,9.799999999999999
mteb-retrieve,0.09515065913370996,0.10260869565217391,575,59,118,11.227777777777774
dna-insert,0.09661016949152537,0.0986159169550173,578,57,118,11.399999999999993
dna-assembly,0.0983050847457627,0.0979381443298969,582,57,118,11.6
make-mips-interpreter,0.10141242937853104,0.10526315789473684,570,60,118,11.966666666666663
mteb-leaderboard,0.1204331450094162,0.11458333333333333,576,66,118,14.21111111111111
gcode-to-text,0.12415254237288131,0.12908777969018934,581,75,118,14.649999999999995
regex-chess,0.13206214689265533,0.13414634146341464,574,77,118,15.58333333333333
torch-tensor-parallelism,0.13898305084745757,0.1438474870017331,577,83,118,16.399999999999995
db-wal-recovery,0.14576271186440673,0.13184931506849315,584,77,118,17.199999999999996
model-extraction-relu-logits,0.14703389830508465,0.1514629948364888,581,88,118,17.349999999999987
polyglot-rust-c,0.17796610169491522,0.18706293706293706,572,107,118,20.999999999999996
polyglot-c-py,0.18474576271186438,0.18989547038327526,574,109,118,21.799999999999997
chess-best-move,0.2080508474576271,0.2093425605536332,578,121,118,24.55
path-tracing-reverse,0.21864406779661014,0.20950704225352113,568,119,118,25.799999999999997
path-tracing,0.21892655367231637,0.22831858407079647,565,129,118,25.833333333333332
write-compressor,0.238135593220339,0.24869565217391304,575,143,118,28.1
protein-assembly,0.2398305084745762,0.2495697074010327,581,145,118,28.299999999999994
financial-document-processor,0.3186440677966103,0.3160621761658031,579,183,118,37.600000000000016
qemu-alpine-ssh,0.3372881355932206,0.33217993079584773,578,192,118,39.800000000000026
schemelike-metacircular-eval,0.34039548022598903,0.33276157804459694,583,194,118,40.16666666666671
break-filter-js-from-html,0.3478813559322035,0.3516295025728988,583,205,118,41.05000000000001
query-optimize,0.3567796610169492,0.3719723183391003,578,215,118,42.1
winning-avg-corewars,0.3567796610169494,0.359106529209622,582,209,118,42.10000000000003
circuit-fibsqrt,0.3622881355932205,0.3507853403141361,573,201,118,42.750000000000014
adaptive-rejection-sampler,0.37175141242937876,0.3542757417102967,573,203,118,43.866666666666696
sanitize-git-repo,0.3745762711864409,0.37221269296740994,583,217,118,44.200000000000024
feal-linear-cryptanalysis,0.38474576271186434,0.39273356401384085,578,227,118,45.39999999999999
overfull-hbox,0.4008474576271188,0.4027777777777778,576,232,118,47.30000000000002
rstan-to-pystan,0.408898305084746,0.4118673647469459,573,236,118,48.25000000000003
feal-differential-cryptanalysis,0.42542372881355955,0.41852487135506006,583,244,118,50.200000000000024
build-cython-ext,0.4322033898305088,0.42114384748700173,577,243,118,51.00000000000004
sparql-university,0.43305084745762723,0.4273356401384083,578,247,118,51.100000000000016
largest-eigenval,0.4361581920903958,0.43470790378006874,582,253,118,51.466666666666704
compile-compcert,0.44533898305084757,0.4386873920552677,579,254,118,52.55000000000001
cancel-async-tasks,0.4491525423728815,0.4520547945205479,584,264,118,53.000000000000014
tune-mjcf,0.45847457627118676,0.4509466437177281,581,262,118,54.10000000000004
count-dataset-tokens,0.4707627118644069,0.46757679180887374,586,274,118,55.55000000000001
extract-elf,0.4752824858757064,0.4844290657439446,578,280,118,56.08333333333335
password-recovery,0.4822033898305086,0.4780316344463972,569,272,118,56.90000000000001
mailman,0.485593220338983,0.4973821989528796,573,285,118,57.3
llm-inference-batching-scheduler,0.48700564971751403,0.4811643835616438,584,281,118,57.466666666666654
pytorch-model-recovery,0.5063559322033901,0.5146804835924007,579,298,118,59.750000000000036
configure-git-webserver,0.5310734463276836,0.5324232081911263,586,312,118,62.666666666666664
reshard-c4-data,0.5347457627118645,0.53125,576,306,118,63.1
sqlite-db-truncate,0.5372881355932202,0.5310344827586206,580,308,118,63.399999999999984
pytorch-model-cli,0.5669491525423729,0.5601374570446735,582,326,118,66.9
large-scale-text-editing,0.5727401129943505,0.5647668393782384,579,327,118,67.58333333333336
bn-fit-modify,0.5889830508474575,0.5779334500875657,571,330,118,69.49999999999999
qemu-startup,0.6005649717514127,0.6020583190394511,583,351,118,70.86666666666669
fix-ocaml-gc,0.6029661016949154,0.5982456140350877,570,341,118,71.15000000000002
mcmc-sampling-stan,0.6038135593220341,0.6111111111111112,576,352,118,71.25000000000001
kv-store-grpc,0.6135593220338981,0.6089193825042881,583,355,118,72.39999999999998
build-pov-ray,0.6159604519774012,0.6059544658493871,571,346,118,72.68333333333335
